FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
2750.288,2022-08-08 18:49:32,154174,-1520432.79,-5083357.43,3530362.38
2751.265,2022-08-08 18:49:33,154175,-1520432.81,-5083357.43,3530362.45
2752.287,2022-08-08 18:49:34,154176,-1520432.83,-5083357.52,3530362.53
2753.289,2022-08-08 18:49:35,154177,-1520432.86,-5083357.68,3530362.59
2754.27,2022-08-08 18:49:36,154178,-1520432.86,-5083357.81,3530362.67
2755.286,2022-08-08 18:49:37,154179.001,-1520432.9,-5083357.85,3530362.75
2756.263,2022-08-08 18:49:38,154180,-1520432.97,-5083357.83,3530362.78
2757.257,2022-08-08 18:49:39,154181,-1520432.91,-5083357.99,3530362.89
2758.262,2022-08-08 18:49:40,154182,-1520432.9,-5083358.12,3530362.99
2759.284,2022-08-08 18:49:41,154183,-1520432.86,-5083358.27,3530363.09
2760.286,2022-08-08 18:49:42,154184,-1520432.84,-5083358.37,3530363.15
2761.265,2022-08-08 18:49:43,154185,-1520432.75,-5083358.59,3530363.25
2762.266,2022-08-08 18:49:44,154186,-1520432.71,-5083358.84,3530363.31
2763.262,2022-08-08 18:49:45,154187,-1520432.66,-5083358.99,3530363.36
2764.256,2022-08-08 18:49:46,154188,-1520432.69,-5083359.01,3530363.37
2765.269,2022-08-08 18:49:47,154189,-1520432.74,-5083359.03,3530363.38
2766.283,2022-08-08 18:49:48,154190,-1520432.7,-5083359.19,3530363.5
2767.284,2022-08-08 18:49:49,154191,-1520432.66,-5083359.35,3530363.6
2768.286,2022-08-08 18:49:50,154192,-1520432.5,-5083359.66,3530363.76
2769.26,2022-08-08 18:49:51,154193,-1520432.49,-5083359.66,3530363.78
2770.282,2022-08-08 18:49:52,154194,-1520432.56,-5083359.6,3530363.77
2771.267,2022-08-08 18:49:53,154195,-1520432.6,-5083359.6,3530363.75
2772.285,2022-08-08 18:49:54,154196,-1520432.62,-5083359.63,3530363.77
2773.285,2022-08-08 18:49:55,154197,-1520432.58,-5083359.72,3530363.84
2774.286,2022-08-08 18:49:56,154198,-1520432.65,-5083359.68,3530363.84
2775.264,2022-08-08 18:49:57,154199,-1520432.7,-5083359.68,3530363.89
2776.285,2022-08-08 18:49:58,154200,-1520432.72,-5083359.72,3530363.95
2777.303,2022-08-08 18:49:59,154201,-1520432.8,-5083359.67,3530363.9
2778.263,2022-08-08 18:50:00,154202,-1520432.88,-5083359.58,3530363.84
2779.285,2022-08-08 18:50:01,154203,-1520432.89,-5083359.64,3530363.88
2780.262,2022-08-08 18:50:02,154204,-1520432.97,-5083359.59,3530363.88
2781.286,2022-08-08 18:50:03,154205,-1520432.91,-5083359.77,3530364.06
2782.261,2022-08-08 18:50:04,154206,-1520432.92,-5083359.77,3530364.17
2783.261,2022-08-08 18:50:05,154207,-1520432.86,-5083359.91,3530364.3
2784.286,2022-08-08 18:50:06,154208,-1520432.89,-5083359.86,3530364.38
2785.263,2022-08-08 18:50:07,154209,-1520432.93,-5083359.84,3530364.44
2786.258,2022-08-08 18:50:08,154210,-1520432.95,-5083359.84,3530364.49
2787.285,2022-08-08 18:50:09,154211,-1520432.97,-5083359.78,3530364.52
2788.286,2022-08-08 18:50:10,154212,-1520433.01,-5083359.79,3530364.6
2789.288,2022-08-08 18:50:11,154213,-1520433.04,-5083359.78,3530364.66
2790.298,2022-08-08 18:50:12,154214,-1520433.05,-5083359.81,3530364.71
2791.303,2022-08-08 18:50:13,154215,-1520432.97,-5083359.99,3530364.81
2792.26,2022-08-08 18:50:14,154216,-1520432.98,-5083360.05,3530364.82
2793.264,2022-08-08 18:50:15,154217,-1520432.95,-5083360.1,3530364.82
2794.286,2022-08-08 18:50:16,154218,-1520432.89,-5083360.15,3530364.86
2795.286,2022-08-08 18:50:17,154219,-1520432.9,-5083360.11,3530364.81
2796.254,2022-08-08 18:50:18,154220,-1520432.9,-5083360.1,3530364.76
2797.268,2022-08-08 18:50:19,154221,-1520433.05,-5083359.88,3530364.63
2798.257,2022-08-08 18:50:20,154222,-1520433.09,-5083359.88,3530364.57
2799.3,2022-08-08 18:50:21,154223,-1520433.28,-5083359.52,3530364.41
2800.269,2022-08-08 18:50:22,154224,-1520433.3,-5083359.44,3530364.33
2801.264,2022-08-08 18:50:23,154225,-1520433.28,-5083359.43,3530364.26
2802.262,2022-08-08 18:50:24,154226,-1520433.33,-5083359.21,3530364.18
2803.262,2022-08-08 18:50:25,154227,-1520433.34,-5083359.09,3530364.12
2804.283,2022-08-08 18:50:26,154228,-1520433.28,-5083359.11,3530364.13
2805.285,2022-08-08 18:50:27,154229,-1520433.19,-5083359.05,3530364.18
2806.255,2022-08-08 18:50:28,154230,-1520433.02,-5083359.09,3530364.34
2807.285,2022-08-08 18:50:29,154231,-1520432.9,-5083359.11,3530364.45
2808.262,2022-08-08 18:50:30,154232,-1520432.73,-5083359.26,3530364.58
2809.28,2022-08-08 18:50:31,154233,-1520432.73,-5083359.11,3530364.65
2810.301,2022-08-08 18:50:32,154234,-1520432.62,-5083359.23,3530364.86
2811.284,2022-08-08 18:50:33,154235,-1520432.49,-5083359.32,3530365.04
2812.267,2022-08-08 18:50:34,154236,-1520432.39,-5083359.45,3530365.21
2813.284,2022-08-08 18:50:35,154237,-1520432.29,-5083359.51,3530365.32
2814.281,2022-08-08 18:50:36,154238,-1520432.21,-5083359.67,3530365.33
2815.267,2022-08-08 18:50:37,154239,-1520432.13,-5083359.83,3530365.41
2816.286,2022-08-08 18:50:38,154240,-1520431.95,-5083360.11,3530365.55
2817.285,2022-08-08 18:50:39,154241,-1520431.74,-5083360.45,3530365.71
2818.283,2022-08-08 18:50:40,154242,-1520431.63,-5083360.49,3530365.76
2819.284,2022-08-08 18:50:41,154243,-1520431.62,-5083360.34,3530365.84
2820.257,2022-08-08 18:50:42,154244,-1520431.48,-5083360.52,3530365.94
2821.261,2022-08-08 18:50:43,154245,-1520431.19,-5083360.95,3530366.13
2822.305,2022-08-08 18:50:44,154246,-1520431.14,-5083360.99,3530366.14
2823.259,2022-08-08 18:50:45,154247,-1520430.9,-5083361.41,3530366.18
2824.285,2022-08-08 18:50:46,154248,-1520430.68,-5083361.77,3530366.22
2825.285,2022-08-08 18:50:47,154249,-1520430.47,-5083362.12,3530366.31
2826.265,2022-08-08 18:50:48,154250,-1520430.23,-5083362.59,3530366.43
2827.284,2022-08-08 18:50:49,154251,-1520430,-5083363.08,3530366.52
2828.3,2022-08-08 18:50:50,154252,-1520429.86,-5083363.34,3530366.56
2829.261,2022-08-08 18:50:51,154253,-1520429.75,-5083363.52,3530366.64
2830.286,2022-08-08 18:50:52,154254,-1520429.72,-5083363.48,3530366.64
2831.282,2022-08-08 18:50:53,154255,-1520429.69,-5083363.56,3530366.66
2832.263,2022-08-08 18:50:54,154256,-1520429.58,-5083363.83,3530366.66
2833.268,2022-08-08 18:50:55,154257,-1520429.49,-5083363.91,3530366.69
2834.268,2022-08-08 18:50:56,154258,-1520429.48,-5083363.84,3530366.67
2835.262,2022-08-08 18:50:57,154259,-1520429.56,-5083363.62,3530366.64
2836.28,2022-08-08 18:50:58,154260,-1520429.66,-5083363.24,3530366.64
2837.302,2022-08-08 18:50:59,154261,-1520429.77,-5083362.75,3530366.58
2838.269,2022-08-08 18:51:00,154262,-1520429.84,-5083362.38,3530366.5
2839.267,2022-08-08 18:51:01,154263,-1520429.94,-5083361.92,3530366.4
2840.286,2022-08-08 18:51:02,154264,-1520429.93,-5083361.8,3530366.32
2841.285,2022-08-08 18:51:03,154265,-1520429.97,-5083361.52,3530366.16
2842.286,2022-08-08 18:51:04,154266,-1520430.05,-5083361.24,3530366.01
2843.286,2022-08-08 18:51:05,154267,-1520429.96,-5083361.34,3530365.87
2844.263,2022-08-08 18:51:06,154268,-1520429.98,-5083361.27,3530365.66
2845.283,2022-08-08 18:51:07,154269,-1520430.09,-5083360.9,3530365.42
2846.285,2022-08-08 18:51:08,154270,-1520429.97,-5083361.02,3530365.26
2847.261,2022-08-08 18:51:09,154271,-1520429.97,-5083360.87,3530365.03
2848.254,2022-08-08 18:51:10,154272,-1520429.95,-5083360.91,3530364.85
2849.269,2022-08-08 18:51:11,154273,-1520429.95,-5083360.91,3530364.68
2850.269,2022-08-08 18:51:12,154274,-1520430,-5083360.74,3530364.43
2851.259,2022-08-08 18:51:13,154275,-1520430.09,-5083360.57,3530364.2
2852.26,2022-08-08 18:51:14,154276,-1520430.11,-5083360.53,3530364.08
2853.285,2022-08-08 18:51:15,154277,-1520430.08,-5083360.63,3530363.99
2854.288,2022-08-08 18:51:16,154278,-1520430.08,-5083360.63,3530363.85
2855.27,2022-08-08 18:51:17,154279,-1520430.16,-5083360.48,3530363.71
2856.261,2022-08-08 18:51:18,154280,-1520430.26,-5083360.32,3530363.58
2857.283,2022-08-08 18:51:19,154281,-1520430.28,-5083360.32,3530363.51
2858.255,2022-08-08 18:51:20,154282,-1520430.44,-5083360.05,3530363.35
2859.26,2022-08-08 18:51:21,154283,-1520430.59,-5083359.78,3530363.25
2860.286,2022-08-08 18:51:22,154284,-1520430.67,-5083359.75,3530363.2
2861.283,2022-08-08 18:51:23,154285,-1520430.78,-5083359.76,3530363.22
2862.255,2022-08-08 18:51:24,154286,-1520430.84,-5083359.77,3530363.19
2863.289,2022-08-08 18:51:25,154287,-1520430.9,-5083359.75,3530363.16
2864.286,2022-08-08 18:51:26,154288,-1520431.02,-5083359.67,3530363.15
2865.26,2022-08-08 18:51:27,154289,-1520431.13,-5083359.6,3530363.16
2866.284,2022-08-08 18:51:28,154290,-1520431.26,-5083359.6,3530363.18
2867.263,2022-08-08 18:51:29,154291,-1520431.49,-5083359.22,3530363.13
2868.265,2022-08-08 18:51:30,154292.001,-1520431.72,-5083358.82,3530363.1
2869.274,2022-08-08 18:51:31,154293,-1520431.99,-5083358.12,3530363.03
2870.283,2022-08-08 18:51:32,154294,-1520432.21,-5083357.54,3530363
2871.285,2022-08-08 18:51:33,154295,-1520432.36,-5083357.2,3530363.06
2872.259,2022-08-08 18:51:34,154296,-1520432.39,-5083357.06,3530363.13
2873.286,2022-08-08 18:51:35,154297,-1520432.54,-5083356.64,3530363.12
2874.258,2022-08-08 18:51:36,154298,-1520432.55,-5083356.56,3530363.23
2875.269,2022-08-08 18:51:37,154299,-1520432.71,-5083356.11,3530363.14
2876.3,2022-08-08 18:51:38,154300,-1520432.82,-5083355.91,3530363.17
2877.256,2022-08-08 18:51:39,154301,-1520432.91,-5083355.72,3530363.2
2878.284,2022-08-08 18:51:40,154302,-1520432.89,-5083355.75,3530363.35
2879.262,2022-08-08 18:51:41,154303,-1520432.91,-5083355.74,3530363.48
2880.285,2022-08-08 18:51:42,154304,-1520432.95,-5083355.62,3530363.53
2881.257,2022-08-08 18:51:43,154305,-1520432.95,-5083355.75,3530363.69
2882.29,2022-08-08 18:51:44,154306,-1520432.84,-5083355.93,3530363.85
2883.262,2022-08-08 18:51:45,154307,-1520432.83,-5083355.82,3530363.92
2884.286,2022-08-08 18:51:46,154308,-1520432.85,-5083355.61,3530363.96
2885.26,2022-08-08 18:51:47,154309,-1520432.81,-5083355.42,3530364.16
2886.284,2022-08-08 18:51:48,154310,-1520432.85,-5083355.41,3530364.2
2887.281,2022-08-08 18:51:49,154311,-1520432.88,-5083355.53,3530364.65
2888.282,2022-08-08 18:51:50,154312,-1520432.87,-5083355.72,3530364.74
2889.285,2022-08-08 18:51:51,154313,-1520432.87,-5083355.86,3530364.81
2890.26,2022-08-08 18:51:52,154314,-1520432.9,-5083356.56,3530365.18
2891.261,2022-08-08 18:51:53,154315,-1520432.95,-5083357.05,3530365.45
2892.257,2022-08-08 18:51:54,154316,-1520433.06,-5083357.06,3530365.73
2893.294,2022-08-08 18:51:55,154317,-1520433.09,-5083357.19,3530366.1
2894.269,2022-08-08 18:51:56,154318,-1520433.14,-5083357.33,3530366.46
2895.285,2022-08-08 18:51:57,154319,-1520433.15,-5083357.36,3530366.73
2896.285,2022-08-08 18:51:58,154320,-1520433.18,-5083357.26,3530366.88
2897.263,2022-08-08 18:51:59,154321,-1520433.06,-5083357.31,3530367.03
2898.301,2022-08-08 18:52:00,154322,-1520432.95,-5083357.32,3530367.04
2899.285,2022-08-08 18:52:01,154323,-1520432.95,-5083357.39,3530367.17
2900.282,2022-08-08 18:52:02,154324,-1520432.96,-5083357.35,3530367.15
2901.285,2022-08-08 18:52:03,154325,-1520432.93,-5083357.28,3530367.12
2902.284,2022-08-08 18:52:04,154326,-1520432.89,-5083357.3,3530367.09
2903.257,2022-08-08 18:52:05,154327,-1520432.84,-5083357.21,3530367.02
2904.268,2022-08-08 18:52:06,154328,-1520432.77,-5083357.07,3530366.97
2905.284,2022-08-08 18:52:07,154329,-1520432.67,-5083356.93,3530366.95
2906.26,2022-08-08 18:52:08,154330,-1520432.73,-5083356.51,3530366.82
2907.287,2022-08-08 18:52:09,154331,-1520432.71,-5083356.17,3530366.73
2908.304,2022-08-08 18:52:10,154332,-1520432.67,-5083355.77,3530366.58
2909.261,2022-08-08 18:52:11,154333,-1520432.62,-5083355.46,3530366.45
2910.256,2022-08-08 18:52:12,154334,-1520432.48,-5083355.35,3530366.32
2911.286,2022-08-08 18:52:13,154335,-1520432.46,-5083354.58,3530366.36
2912.285,2022-08-08 18:52:14,154336,-1520432.43,-5083353.8,3530366.44
2913.28,2022-08-08 18:52:15,154337,-1520432.41,-5083353.14,3530366.45
2914.264,2022-08-08 18:52:16,154338,-1520432.18,-5083352.89,3530366.53
2915.282,2022-08-08 18:52:17,154339,-1520432.03,-5083352.57,3530366.55
2916.285,2022-08-08 18:52:18,154340,-1520431.94,-5083352.21,3530366.55
2917.286,2022-08-08 18:52:19,154341,-1520431.86,-5083351.88,3530366.5
2918.256,2022-08-08 18:52:20,154342,-1520431.81,-5083351.57,3530366.51
2919.282,2022-08-08 18:52:21,154343,-1520431.87,-5083351.23,3530366.47
2920.273,2022-08-08 18:52:22,154344,-1520431.91,-5083351.04,3530366.43
2921.282,2022-08-08 18:52:23,154345,-1520431.94,-5083350.77,3530366.41
2922.264,2022-08-08 18:52:24,154346,-1520431.93,-5083350.47,3530366.46
2923.261,2022-08-08 18:52:25,154347,-1520431.74,-5083350.38,3530366.67
2924.267,2022-08-08 18:52:26,154348,-1520431.76,-5083350.05,3530366.7
2925.273,2022-08-08 18:52:27,154349,-1520431.73,-5083349.95,3530366.73
2926.258,2022-08-08 18:52:28,154350,-1520431.67,-5083349.89,3530366.74
2927.277,2022-08-08 18:52:29,154351,-1520431.64,-5083349.82,3530366.78
2928.286,2022-08-08 18:52:30,154352,-1520431.65,-5083349.7,3530366.79
2929.254,2022-08-08 18:52:31,154353,-1520431.73,-5083349.47,3530366.81
2930.262,2022-08-08 18:52:32,154354,-1520431.73,-5083349.36,3530366.92
2931.292,2022-08-08 18:52:33,154355,-1520431.73,-5083349.27,3530366.94
2932.262,2022-08-08 18:52:34,154356,-1520431.92,-5083349.02,3530366.74
2933.285,2022-08-08 18:52:35,154357,-1520432.01,-5083348.89,3530366.63
2934.267,2022-08-08 18:52:36,154358,-1520432.02,-5083348.82,3530366.57
2935.286,2022-08-08 18:52:37,154359,-1520432.03,-5083348.81,3530366.53
2936.289,2022-08-08 18:52:38,154360,-1520432.11,-5083348.75,3530366.38
2937.286,2022-08-08 18:52:39,154361,-1520432.11,-5083348.8,3530366.27
2938.256,2022-08-08 18:52:40,154362,-1520432.18,-5083348.71,3530366.15
2939.284,2022-08-08 18:52:41,154363,-1520432.24,-5083348.75,3530366.01
2940.262,2022-08-08 18:52:42,154364,-1520432.39,-5083348.7,3530365.81
2941.294,2022-08-08 18:52:43,154365,-1520432.47,-5083348.67,3530365.72
2942.265,2022-08-08 18:52:44,154366,-1520432.39,-5083348.72,3530365.7
2943.284,2022-08-08 18:52:45,154367,-1520432.22,-5083348.87,3530365.84
2944.286,2022-08-08 18:52:46,154368,-1520432.29,-5083348.74,3530365.8
2945.286,2022-08-08 18:52:47,154369,-1520432.55,-5083348.5,3530365.58
2946.289,2022-08-08 18:52:48,154370,-1520432.65,-5083348.44,3530365.58
2947.264,2022-08-08 18:52:49,154371,-1520432.54,-5083348.62,3530365.7
2948.292,2022-08-08 18:52:50,154372,-1520432.62,-5083348.57,3530365.66
2949.261,2022-08-08 18:52:51,154373,-1520432.58,-5083348.68,3530365.71
2950.259,2022-08-08 18:52:52,154374,-1520432.57,-5083348.71,3530365.78
2951.268,2022-08-08 18:52:53,154375,-1520432.5,-5083348.75,3530365.91
2952.282,2022-08-08 18:52:54,154376,-1520432.4,-5083348.88,3530366.06
2953.27,2022-08-08 18:52:55,154377,-1520432.23,-5083349.12,3530366.25
2954.265,2022-08-08 18:52:56,154378,-1520432.16,-5083349.2,3530366.37
2955.286,2022-08-08 18:52:57,154379,-1520431.96,-5083349.39,3530366.62
2956.267,2022-08-08 18:52:58,154380,-1520431.77,-5083349.61,3530366.84
2957.263,2022-08-08 18:52:59,154381,-1520431.66,-5083349.74,3530366.97
2958.264,2022-08-08 18:53:00,154382,-1520431.77,-5083349.63,3530366.92
2959.267,2022-08-08 18:53:01,154383,-1520431.75,-5083349.67,3530366.97
2960.285,2022-08-08 18:53:02,154384,-1520431.92,-5083349.53,3530366.87
2961.286,2022-08-08 18:53:03,154385,-1520431.96,-5083349.52,3530366.87
2962.285,2022-08-08 18:53:04,154386,-1520432,-5083349.48,3530366.82
2963.265,2022-08-08 18:53:05,154387,-1520431.97,-5083349.55,3530366.87
2964.285,2022-08-08 18:53:06,154388,-1520431.93,-5083349.57,3530366.85
2965.285,2022-08-08 18:53:07,154389,-1520431.85,-5083349.64,3530366.87
2966.262,2022-08-08 18:53:08,154390,-1520431.84,-5083349.66,3530366.83
2967.285,2022-08-08 18:53:09,154391,-1520431.95,-5083349.51,3530366.66
2968.26,2022-08-08 18:53:10,154392,-1520431.95,-5083349.51,3530366.58
2969.284,2022-08-08 18:53:11,154393,-1520431.8,-5083349.63,3530366.6
2970.287,2022-08-08 18:53:12,154394,-1520431.96,-5083349.43,3530366.3
2971.284,2022-08-08 18:53:13,154395,-1520431.84,-5083349.5,3530366.23
2972.285,2022-08-08 18:53:14,154396,-1520431.96,-5083349.32,3530365.9
2973.262,2022-08-08 18:53:15,154397,-1520431.94,-5083349.29,3530365.71
2974.285,2022-08-08 18:53:16,154398,-1520431.73,-5083349.39,3530365.66
2975.286,2022-08-08 18:53:17,154399,-1520431.69,-5083349.37,3530365.46
2976.286,2022-08-08 18:53:18,154400,-1520431.63,-5083349.36,3530365.31
2977.263,2022-08-08 18:53:19,154401,-1520431.63,-5083349.28,3530365.11
2978.262,2022-08-08 18:53:20,154402,-1520431.6,-5083349.22,3530364.95
2979.263,2022-08-08 18:53:21,154403,-1520431.54,-5083349.22,3530364.82
2980.284,2022-08-08 18:53:22,154404.001,-1520431.41,-5083349.26,3530364.69
2981.285,2022-08-08 18:53:23,154405,-1520431.25,-5083349.29,3530364.66
2982.285,2022-08-08 18:53:24,154406,-1520431.18,-5083349.22,3530364.54
2983.285,2022-08-08 18:53:25,154407,-1520431.17,-5083349.07,3530364.37
2984.302,2022-08-08 18:53:26,154408,-1520431.04,-5083349.06,3530364.29
2985.258,2022-08-08 18:53:27,154409,-1520430.96,-5083349,3530364.23
2986.26,2022-08-08 18:53:28,154410,-1520430.87,-5083349.02,3530364.2
2987.282,2022-08-08 18:53:29,154411,-1520430.91,-5083348.89,3530364.08
2988.283,2022-08-08 18:53:30,154412,-1520430.98,-5083348.74,3530363.92
2989.259,2022-08-08 18:53:31,154413,-1520431.05,-5083348.61,3530363.81
2990.255,2022-08-08 18:53:32,154414,-1520431.15,-5083348.44,3530363.68
2991.282,2022-08-08 18:53:33,154415,-1520431.2,-5083348.33,3530363.6
2992.261,2022-08-08 18:53:34,154416,-1520431.13,-5083348.33,3530363.62
2993.26,2022-08-08 18:53:35,154417,-1520431.18,-5083348.19,3530363.56
2994.284,2022-08-08 18:53:36,154418,-1520431.13,-5083348.17,3530363.49
2995.284,2022-08-08 18:53:37,154419,-1520431.17,-5083348.02,3530363.39
2996.259,2022-08-08 18:53:38,154420,-1520431.15,-5083348.02,3530363.45
2997.283,2022-08-08 18:53:39,154421,-1520431.19,-5083348.01,3530363.43
2998.263,2022-08-08 18:53:40,154422,-1520431.27,-5083347.95,3530363.42
2999.267,2022-08-08 18:53:41,154423,-1520431.32,-5083347.98,3530363.45
3000.284,2022-08-08 18:53:42,154424,-1520431.26,-5083348.13,3530363.58
3001.258,2022-08-08 18:53:43,154425,-1520431.28,-5083348.21,3530363.66
3002.283,2022-08-08 18:53:44,154426,-1520431.41,-5083348.19,3530363.68
3003.266,2022-08-08 18:53:45,154427,-1520431.47,-5083348.31,3530363.8
3004.263,2022-08-08 18:53:46,154428,-1520431.46,-5083348.55,3530363.99
3005.283,2022-08-08 18:53:47,154429,-1520431.51,-5083348.74,3530364.19
3006.27,2022-08-08 18:53:48,154430,-1520431.61,-5083348.9,3530364.41
3007.284,2022-08-08 18:53:49,154431,-1520431.75,-5083349.02,3530364.62
3008.283,2022-08-08 18:53:50,154432,-1520431.96,-5083349.02,3530364.76
3009.284,2022-08-08 18:53:51,154433,-1520432.13,-5083349.1,3530364.98
3010.285,2022-08-08 18:53:52,154434,-1520432.23,-5083349.12,3530365.08
3011.286,2022-08-08 18:53:53,154435,-1520432.31,-5083349.23,3530365.31
3012.286,2022-08-08 18:53:54,154436,-1520432.45,-5083349.25,3530365.48
3013.268,2022-08-08 18:53:55,154437,-1520432.56,-5083349.37,3530365.66
3014.285,2022-08-08 18:53:56,154438,-1520432.68,-5083349.43,3530365.79
3015.26,2022-08-08 18:53:57,154439,-1520432.83,-5083349.46,3530365.87
3016.264,2022-08-08 18:53:58,154440,-1520432.99,-5083349.51,3530365.96
3017.262,2022-08-08 18:53:59,154441,-1520433.09,-5083349.62,3530366.09
3018.285,2022-08-08 18:54:00,154442,-1520433.15,-5083349.74,3530366.21
3019.283,2022-08-08 18:54:01,154443,-1520433.22,-5083349.87,3530366.34
3020.283,2022-08-08 18:54:02,154444,-1520433.24,-5083350.03,3530366.5
3021.282,2022-08-08 18:54:03,154445,-1520433.3,-5083350.15,3530366.61
3022.285,2022-08-08 18:54:04,154446,-1520433.36,-5083350.28,3530366.78
3023.266,2022-08-08 18:54:05,154447,-1520433.4,-5083350.42,3530366.98
3024.301,2022-08-08 18:54:06,154448,-1520433.39,-5083350.59,3530367.15
3025.26,2022-08-08 18:54:07,154449,-1520433.39,-5083350.77,3530367.33
3026.261,2022-08-08 18:54:08,154450,-1520433.41,-5083350.94,3530367.52
3027.285,2022-08-08 18:54:09,154451,-1520433.48,-5083351.02,3530367.66
3028.285,2022-08-08 18:54:10,154452,-1520433.57,-5083351.11,3530367.84
3029.303,2022-08-08 18:54:11,154453,-1520433.68,-5083351.19,3530368.02
3030.298,2022-08-08 18:54:12,154454,-1520433.76,-5083351.27,3530368.15
3031.256,2022-08-08 18:54:13,154455,-1520433.85,-5083351.35,3530368.34
3032.283,2022-08-08 18:54:14,154456,-1520433.93,-5083351.43,3530368.54
3033.256,2022-08-08 18:54:15,154457,-1520434.01,-5083351.47,3530368.69
3034.263,2022-08-08 18:54:16,154458,-1520434.09,-5083351.53,3530368.82
3035.277,2022-08-08 18:54:17,154459,-1520434.2,-5083351.56,3530368.94
3036.285,2022-08-08 18:54:18,154460,-1520434.31,-5083351.56,3530369.03
3037.261,2022-08-08 18:54:19,154461,-1520434.44,-5083351.55,3530369.06
3038.284,2022-08-08 18:54:20,154462,-1520434.56,-5083351.58,3530369.16
3039.267,2022-08-08 18:54:21,154463,-1520434.69,-5083351.57,3530369.22
3040.284,2022-08-08 18:54:22,154464,-1520434.81,-5083351.56,3530369.28
3041.268,2022-08-08 18:54:23,154465,-1520434.91,-5083351.55,3530369.35
3042.285,2022-08-08 18:54:24,154466,-1520435.01,-5083351.5,3530369.38
3043.284,2022-08-08 18:54:25,154467,-1520435.12,-5083351.41,3530369.43
3044.259,2022-08-08 18:54:26,154468,-1520435.15,-5083351.4,3530369.55
3045.261,2022-08-08 18:54:27,154469,-1520435.14,-5083351.48,3530369.68
3046.284,2022-08-08 18:54:28,154470,-1520435.18,-5083351.52,3530369.76
3047.261,2022-08-08 18:54:29,154471,-1520435.25,-5083351.5,3530369.79
3048.284,2022-08-08 18:54:30,154472,-1520435.33,-5083351.49,3530369.8
3049.268,2022-08-08 18:54:31,154473,-1520435.35,-5083351.5,3530369.86
3050.28,2022-08-08 18:54:32,154474,-1520435.39,-5083351.48,3530369.91
3051.283,2022-08-08 18:54:33,154475,-1520435.44,-5083351.42,3530369.96
3052.269,2022-08-08 18:54:34,154476,-1520435.46,-5083351.39,3530370.03
3053.263,2022-08-08 18:54:35,154477,-1520435.53,-5083351.31,3530370.04
3054.259,2022-08-08 18:54:36,154478,-1520435.55,-5083351.33,3530370.14
3055.283,2022-08-08 18:54:37,154479,-1520435.56,-5083351.36,3530370.24
3056.252,2022-08-08 18:54:38,154480,-1520435.54,-5083351.43,3530370.41
3057.253,2022-08-08 18:54:39,154481,-1520435.51,-5083351.53,3530370.56
3058.26,2022-08-08 18:54:40,154482,-1520435.47,-5083351.67,3530370.72
3059.253,2022-08-08 18:54:41,154483,-1520435.42,-5083351.85,3530370.87
3060.283,2022-08-08 18:54:42,154484,-1520435.38,-5083351.98,3530371.01
3061.256,2022-08-08 18:54:43,154485,-1520435.3,-5083352.12,3530371.11
3062.264,2022-08-08 18:54:44,154486,-1520435.2,-5083352.29,3530371.18
3063.259,2022-08-08 18:54:45,154487,-1520435.14,-5083352.43,3530371.25
3064.263,2022-08-08 18:54:46,154488,-1520435.1,-5083352.56,3530371.3
3065.259,2022-08-08 18:54:47,154489,-1520435.07,-5083352.71,3530371.37
3066.263,2022-08-08 18:54:48,154490,-1520435.02,-5083352.82,3530371.45
3067.283,2022-08-08 18:54:49,154491,-1520435.01,-5083353,3530371.46
3068.261,2022-08-08 18:54:50,154492,-1520434.99,-5083353.15,3530371.45
3069.258,2022-08-08 18:54:51,154493,-1520434.99,-5083353.26,3530371.46
3070.292,2022-08-08 18:54:52,154494,-1520435,-5083353.36,3530371.44
3071.269,2022-08-08 18:54:53,154495,-1520434.99,-5083353.56,3530371.42
3072.26,2022-08-08 18:54:54,154496,-1520435.01,-5083353.71,3530371.37
3073.262,2022-08-08 18:54:55,154497,-1520435.03,-5083353.79,3530371.3
3074.278,2022-08-08 18:54:56,154498,-1520435.02,-5083353.91,3530371.26
3075.299,2022-08-08 18:54:57,154499,-1520435.03,-5083353.98,3530371.21
3076.283,2022-08-08 18:54:58,154500,-1520435.03,-5083354.1,3530371.19
3077.283,2022-08-08 18:54:59,154501,-1520435,-5083354.2,3530371.15
3078.283,2022-08-08 18:55:00,154502,-1520434.98,-5083354.33,3530371.12
3079.258,2022-08-08 18:55:01,154503,-1520434.97,-5083354.49,3530371.05
3080.282,2022-08-08 18:55:02,154504,-1520434.99,-5083354.53,3530371.01
3081.261,2022-08-08 18:55:03,154505,-1520434.98,-5083354.6,3530370.97
3082.279,2022-08-08 18:55:04,154506,-1520434.97,-5083354.62,3530370.96
3083.298,2022-08-08 18:55:05,154507,-1520434.91,-5083354.8,3530370.93
3084.265,2022-08-08 18:55:06,154508,-1520434.82,-5083354.97,3530370.88
3085.288,2022-08-08 18:55:07,154509,-1520434.7,-5083355.23,3530370.88
3086.283,2022-08-08 18:55:08,154510,-1520434.56,-5083355.56,3530370.95
3087.283,2022-08-08 18:55:09,154511,-1520434.47,-5083355.77,3530371
3088.283,2022-08-08 18:55:10,154512,-1520434.39,-5083355.98,3530371.07
3089.258,2022-08-08 18:55:11,154513,-1520434.28,-5083356.23,3530371.11
